"Date","Home","HG","HxGtTeam xGoals (Conditional probabilities are applied to ensure the xGoals value of a single possession never exceeds 1.)","HxGpPlayer xGoals","Away","AG","AxGtTeam xGoals (Conditional probabilities are applied to ensure the xGoals value of a single possession never exceeds 1.)","AxGpPlayer xGoals","GDGoal Difference (Own goals excluded.)","xGDtTeam xGoals (Conditional probabilities are applied to ensure the xGoals value of a single possession never exceeds 1.)","xGDpPlayer xGoals","FinalFinal Score (Own goals included.)","HxPtsExpected points earned, given the same sample of shots over 1,000 simulations.","AxPtsExpected points earned, given the same sample of shots over 1,000 simulations."
"2018-07-25","DCU","0","1.02","1.02","NYRB","1","2.4233","2.4233","-1","-1.4033","-1.4033","-1","0.494","2.312"
"2018-07-25","HOU","1","1.414","1.4266","PHI","3","1.8656","1.8656","-2","-0.4516","-0.4389","-2","1.027","1.729"
"2018-07-25","SJE","0","1.0998","1.0998","SEA","1","0.8195","0.8195","-1","0.2803","0.2803","-1","1.512","1.14"
"2018-07-22","MIN","5","2.3597","2.3597","LAFC","1","0.7134","0.7134","4","1.6462","1.6462","4","2.483","0.368"
"2018-07-21","POR","2","2.4615","2.4909","MTL","2","1.4187","1.4187","0","1.0428","1.0722","0","2.067","0.696"
"2018-07-21","NYRB","2","1.333","1.3391","NER","0","0.9015","0.9015","2","0.4315","0.4377","2","1.741","0.958"
"2018-07-21","ATL","3","3.0529","3.0529","DCU","1","0.3915","0.3962","2","2.6614","2.6568","2","2.858","0.092"
"2018-07-21","SEA","2","1.773","1.8051","VAN","0","1.1078","1.1078","2","0.6651","0.6973","2","1.935","0.795"
"2018-07-21","CHI","1","1.5086","1.5086","TOR","2","1.2412","1.2412","-1","0.2674","0.2674","-1","1.571","1.169"
"2018-07-21","PHI","1","1.9018","1.9026","LAG","3","1.1116","1.1116","-2","0.7901","0.791","-2","1.957","0.796"
"2018-07-21","CLB","3","2.2671","2.2671","ORL","2","1.4009","1.4009","1","0.8662","0.8662","1","2.058","0.708"
