"Date","Home","HG","HxGtTeam xGoals (Conditional probabilities are applied to ensure the xGoals value of a single possession never exceeds 1.)","HxGpPlayer xGoals","Away","AG","AxGtTeam xGoals (Conditional probabilities are applied to ensure the xGoals value of a single possession never exceeds 1.)","AxGpPlayer xGoals","GDGoal Difference (Own goals excluded.)","xGDtTeam xGoals (Conditional probabilities are applied to ensure the xGoals value of a single possession never exceeds 1.)","xGDpPlayer xGoals","FinalFinal Score (Own goals included.)","HxPtsExpected points earned, given the same sample of shots over 1,000 simulations.","AxPtsExpected points earned, given the same sample of shots over 1,000 simulations."
"2019-05-11","FCD","1","1.2358","1.2538","NYRB","3","0.9216","0.9273","-2","0.3142","0.3265","-2","1.62","1.098"
"2019-05-11","TOR","1","1.0569","1.0569","PHI","1","0.8136","0.8136","0","0.2434","0.2434","-1","1.546","1.12"
"2019-05-11","CLB","0","0.605","0.605","LAFC","3","2.2302","2.3718","-3","-1.6252","-1.7668","-3","0.349","2.491"
"2019-05-12","ATL","1","1.0254","1.0254","ORL","0","1.7656","1.7656","1","-0.7402","-0.7402","1","0.808","1.978"
"2019-05-12","DCU","1","0.9568","0.9669","SKC","0","0.9948","0.9948","1","-0.038","-0.0279","1","1.281","1.398"
"2019-05-15","TOR","0","3.2182","3.4564","DCU","0","0.1425","0.1425","0","3.0757","3.3138","0","2.912","0.05"
"2019-05-15","HOU","1","2.339","2.3692","POR","1","1.5242","1.5242","0","0.8148","0.845","0","1.891","0.871"
"2019-05-15","VAN","0","0.3208","0.3219","ATL","1","2.1524","2.3244","-1","-1.8317","-2.0025","-1","0.197","2.669"
"2019-05-15","SEA","2","2.0145","2.0202","ORL","1","0.5073","0.5105","1","1.5071","1.5098","1","2.572","0.265"
"2019-05-16","LAFC","2","2.8621","2.8709","FCD","0","0.6525","0.6525","2","2.2096","2.2183","2","2.698","0.199"
"2019-05-18","RSL","3","1.9804","1.995","TOR","0","0.6444","0.6444","3","1.336","1.3506","3","2.376","0.459"
"2019-05-18","SJE","4","3.0076","3.0354","CHI","1","1.3416","1.3416","3","1.6659","1.6938","3","2.367","0.489"
"2019-05-18","SKC","1","0.9854","1.0385","VAN","1","0.6836","0.6846","0","0.3018","0.3539","0","1.621","1.027"
"2019-05-18","MTL","0","1.0114","1.0114","NER","0","0.6466","0.6557","0","0.3648","0.3556","0","1.636","1.015"
"2019-05-18","PHI","0","1.4672","1.4801","SEA","0","0.4562","0.4823","0","1.011","0.9978","0","2.159","0.569"
"2019-05-18","MIN","1","1.6247","1.6275","CLB","0","0.1282","0.1282","1","1.4965","1.4994","1","2.58","0.237"
"2019-05-18","HOU","2","1.9659","2.0929","DCU","1","1.2422","1.2748","1","0.7237","0.818","1","1.909","0.871"
"2019-05-19","LAG","0","1.8914","1.8914","COL","1","3.005","3.163","-1","-1.1136","-1.2716","-1","0.769","2.062"
"2019-05-19","ORL","5","2.3895","2.3895","CIN","1","0.7752","0.7752","4","1.6143","1.6143","4","2.478","0.363"
"2019-05-19","NYRB","1","0.6004","0.6004","ATL","0","0.8765","0.8778","1","-0.2761","-0.2773","1","1.117","1.522"
"2019-05-19","FCD","1","0.6284","0.6284","LAFC","1","2.6397","2.6751","0","-2.0113","-2.0467","0","0.184","2.719"
"2019-05-22","NYRB","1","1.4086","1.4574","VAN","2","1.8733","1.8929","-1","-0.4647","-0.4355","0","1.07","1.667"
"2019-05-24","RSL","2","1.0717","1.0717","ATL","1","0.8808","0.8808","1","0.1909","0.1909","1","1.428","1.215"
"2019-05-24","ORL","0","2.0388","2.0456","LAG","1","0.5244","0.5244","-1","1.5145","1.5212","-1","2.533","0.292"
"2019-05-24","LAFC","4","3.7332","3.7663","MTL","1","1.6818","1.6818","3","2.0513","2.0845","2","2.578","0.316"
"2019-05-25","PHI","1","1.9351","1.969","POR","3","1.3087","1.3087","-2","0.6264","0.6604","-2","1.793","0.962"
"2019-05-25","COL","3","1.4062","1.4432","CLB","2","1.9102","1.9582","1","-0.504","-0.515","1","1.072","1.717"
"2019-05-25","CHI","1","1.2055","1.2055","NYC","1","0.8042","0.8042","0","0.4014","0.4014","0","1.798","0.91"
"2019-05-25","VAN","2","0.8621","0.8621","FCD","1","1.3936","1.3989","1","-0.5314","-0.5368","1","0.954","1.752"
"2019-05-25","NER","1","1.0765","1.0765","DCU","1","2.5517","2.6185","0","-1.4752","-1.542","0","0.484","2.353"
"2019-05-25","CIN","0","1.6425","1.65","NYRB","2","1.1779","1.1779","-2","0.4646","0.4721","-2","1.705","1.021"
"2019-05-25","MIN","1","1.1808","1.2241","HOU","0","1.255","1.2679","1","-0.0742","-0.0438","1","1.323","1.401"
"2019-05-26","SKC","3","1.5714","1.5729","SEA","2","1.4568","1.4568","1","0.1146","0.1161","1","1.484","1.271"
"2019-05-26","TOR","1","1.5109","1.5109","SJE","2","1.8215","1.8215","-1","-0.3106","-0.3106","-1","1.135","1.633"
"2019-05-29","MTL","2","2.3912","2.3912","RSL","1","1.162","1.1627","1","1.2292","1.2285","1","2.319","0.474"
"2019-05-29","SKC","0","0.8907","0.9226","LAG","2","1.101","1.1014","-2","-0.2102","-0.1787","-2","1.099","1.594"
"2019-05-29","ATL","3","2.092","2.0948","MIN","0","1.1645","1.3356","3","0.9275","0.7592","3","2.027","0.767"
"2019-05-29","DCU","3","1.3209","1.3279","CHI","3","3.1304","3.2519","0","-1.8096","-1.9241","0","0.394","2.476"
"2019-05-29","PHI","1","3.512","3.5164","COL","1","1.1361","1.1464","0","2.3758","2.37","0","2.689","0.232"
"2019-05-31","VAN","1","0.9666","0.9666","TOR","1","0.4826","0.4826","0","0.4841","0.4841","0","1.966","0.721"
"2019-06-01","NYRB","3","1.7524","1.7666","RSL","0","0.5786","0.5899","3","1.1739","1.1766","4","2.225","0.575"
"2019-06-01","DCU","1","1.2123","1.2245","SJE","1","1.771","1.8043","0","-0.5587","-0.5798","0","0.893","1.862"
"2019-06-01","CLB","2","1.7267","1.7267","NYC","2","0.9164","0.9164","0","0.8103","0.8103","0","1.991","0.74"
"2019-06-01","POR","2","2.5018","2.5848","LAFC","3","2.1651","2.1669","-1","0.3368","0.418","-1","1.508","1.268"
"2019-06-01","MTL","0","1.0024","1.0215","ORL","3","1.7724","1.8044","-3","-0.77","-0.7829","-3","0.767","1.955"
"2019-06-01","ATL","2","1.1112","1.1112","CHI","0","1.02","1.02","2","0.0912","0.0912","2","1.408","1.282"
"2019-06-01","FCD","0","0.7627","0.7627","SEA","1","0.1701","0.1701","-1","0.5926","0.5926","1","1.861","0.709"
"2019-06-01","HOU","1","1.4193","1.4474","SKC","1","0.2959","0.2959","0","1.1235","1.1516","0","2.349","0.417"
"2019-06-01","COL","3","2.3698","2.4228","CIN","1","1.1268","1.1268","2","1.243","1.296","2","2.235","0.576"
"2019-06-02","MIN","2","2.7454","2.8442","PHI","3","2.5126","2.5844","-1","0.2328","0.2598","-1","1.519","1.276"
"2019-06-02","LAG","1","1.7535","1.7613","NER","2","2.1981","2.2649","-1","-0.4446","-0.5036","-1","1.119","1.662"
"2019-06-05","MTL","2","1.5024","1.5107","SEA","1","0.8137","0.8137","1","0.6887","0.697","1","2.046","0.615"
"2019-06-06","NYC","5","3.2846","3.2846","CIN","0","1.6127","1.6127","5","1.6719","1.6719","3","2.399","0.464"
"2019-06-07","TOR","2","2.1782","2.2174","SKC","2","1.8722","1.8722","0","0.306","0.3452","0","1.594","1.132"
"2019-06-08","SJE","2","1.1193","1.1193","FCD","1","0.6318","0.6352","1","0.4875","0.484","0","1.777","0.904"
"2019-06-08","PHI","3","3.0573","3.0573","NYRB","2","0.8571","0.8685","1","2.2001","2.1887","1","2.69","0.224"
"2019-06-08","COL","1","0.4684","0.4684","MIN","0","0.884","0.8903","1","-0.4156","-0.4219","1","0.892","1.744"
"2019-06-22","POR","4","3.0521","3.1467","HOU","0","0.5755","0.5865","4","2.4767","2.5602","4","2.799","0.129"
"2019-06-22","FCD","3","3.2356","3.5583","TOR","0","0.4492","0.4492","3","2.7864","3.1091","3","2.856","0.093"
